"","descr","svcdate","cost","taxnbv","deprmeth","life","propno","group","yearsinsvc","remyears","expreason","type"
"6422","basic electrical-office/aux                  ","3/1/2013",5185.18,5035.91,"S/L",27.5,"305","Land Improvements",0.84,26.66,"None","electrical"
"6423","communications alarms-office                 ","1/1/2013",5263.55,5080.12,"S/L",27.5,"305","Capital Improvements",1,26.5,"None","office"
"6424","communications alarms-office                 ","8/1/2013",9575.22,9444.65,"S/L",27.5,"305","Capital Improvements",0.42,27.08,"None","office"
"6425","concrete foundations                         ","1/1/2013",4505,4348.01,"S/L",27.5,"305","Capital Improvements",1,26.5,"None","foundation"
"6426","concrete sidewalks                           ","4/1/2013",2745.73,1304.22,"150DB",15,"305","Land Improvements",0.75,14.25,"None","sidewalks"
"6427","exterior painting                            ","12/1/2013",16250,16225.38,"S/L",27.5,"305","Capital Improvements",0.08,27.42,"None","painting"
"6428","gutter & downspouts                          ","12/1/2013",1566.66,1564.29,"S/L",27.5,"305","Capital Improvements",0.08,27.42,"None","gutter"
"6429","interior painting-apt int                    ","5/1/2013",4699.23,4592.43,"S/L",27.5,"305","Capital Improvements",0.67,26.83,"None","painting"
"6430","interior painting-apt int                    ","3/1/2013",5074.87,4928.78,"S/L",27.5,"305","Capital Improvements",0.84,26.66,"None","painting"
"6431","landscaping-aux                              ","5/1/2013",3508.83,1666.69,"150DB",15,"305","Land Improvements",0.67,14.33,"None","landscaping"
"6432","landscaping-site                             ","5/1/2013",2215.37,1052.3,"150DB",15,"305","Land Improvements",0.67,14.33,"None","landscaping"
"6433","landscaping-site                             ","4/1/2013",6216.41,2952.79,"150DB",15,"305","Land Improvements",0.75,14.25,"None","landscaping"
"6434","capital improvements                         ","2/1/2013",286,281.67,"S/L",27.5,"305","Capital Improvements",0.91,26.59,"None","None"
"6436","lighting & fixtures-apt int                  ","8/1/2013",1496.27,1475.87,"S/L",27.5,"305","Capital Improvements",0.42,27.08,"None","lighting"
"6437","lighting & fixtures-apt int                  ","10/1/2013",1548.59,1536.86,"S/L",27.5,"305","Capital Improvements",0.25,27.25,"None","lighting"
"6438","lighting & fixtures-apt int                  ","9/1/2013",1871.57,1851.72,"S/L",27.5,"305","Capital Improvements",0.33,27.17,"None","lighting"
"6439","lighting & fixtures-apt int                  ","5/1/2013",1872.45,1829.89,"S/L",27.5,"305","Capital Improvements",0.67,26.83,"None","lighting"
"6440","lighting & fixtures-apt int                  ","7/1/2013",2009.94,1976.44,"S/L",27.5,"305","Capital Improvements",0.5,27,"None","lighting"
"6441","field supervision                            ","12/1/2012",685.51,659.54,"S/L",27.5,"305","Capital Improvements",1.08,26.42,"None","supervision"
"6442","field supervision                            ","11/1/2012",142.81,136.97,"S/L",27.5,"305","Capital Improvements",1.16,26.34,"repair below $200","supervision"
"6443","field supervision                            ","10/1/2012",399.88,382.31,"S/L",27.5,"305","Capital Improvements",1.25,26.25,"None","supervision"
"6444","field supervision                            ","9/1/2012",424.75,404.8,"S/L",27.5,"305","Capital Improvements",1.33,26.17,"None","supervision"
"6445","field supervision                            ","9/1/2012",57.13,54.44,"S/L",27.5,"305","Capital Improvements",1.33,26.17,"repair below $200","supervision"
"6446","field supervision                            ","8/1/2012",259.67,246.69,"S/L",27.5,"305","Capital Improvements",1.42,26.08,"None","supervision"
"6447","field supervision                            ","7/1/2012",45.45,43.04,"S/L",27.5,"305","Capital Improvements",1.5,26,"repair below $200","supervision"
"6448","field supervision                            ","6/1/2012",142.81,134.81,"S/L",27.5,"305","Capital Improvements",1.58,25.92,"repair below $200","supervision"
"6449","field supervision                            ","4/1/2012",365.6,342.89,"S/L",27.5,"305","Capital Improvements",1.75,25.75,"None","supervision"
"6451","office equipment                             ","4/1/2013",3869.89,1547.95,"200DB",5,"305","Equipment",0.75,4.25,"None","office"
"6452","outdoor furniture-aux                        ","12/1/2013",1755.15,702.06,"200DB",5,"305","Furniture & Fixtures",0.08,4.92,"None","furniture"
"6453","paving & marking                             ","11/1/2013",12580,5975.5,"150DB",15,"305","Land Improvements",0.16,14.84,"None","parking lot"
"6454","paving & marking                             ","3/1/2013",39571.75,18796.58,"150DB",15,"305","Land Improvements",0.84,14.16,"None","parking lot"
"6455","playfields & equipment                       ","6/1/2013",1655.98,662.39,"200DB",5,"305","Land Improvements",0.58,4.42,"None","None"
"6456","residential equipment                        ","5/1/2013",5602.36,2240.94,"200DB",5,"305","Equipment",0.67,4.33,"None","None"
"6457","supervision                                  ","1/1/2013",1009,973.84,"S/L",27.5,"305","Capital Improvements",1,26.5,"None","supervision"
"6458","supervision                                  ","8/1/2013",1150.19,1134.51,"S/L",27.5,"305","Capital Improvements",0.42,27.08,"None","supervision"
"6459","supervision                                  ","11/1/2013",1427.49,1421,"S/L",27.5,"305","Capital Improvements",0.16,27.34,"None","supervision"
"6460","supervision                                  ","5/1/2013",1826.51,1785,"S/L",27.5,"305","Capital Improvements",0.67,26.83,"None","supervision"
"6461","supervision                                  ","12/1/2013",4345.98,4339.4,"S/L",27.5,"305","Capital Improvements",0.08,27.42,"None","supervision"
"6462","supervision                                  ","3/1/2013",5194.57,5045.03,"S/L",27.5,"305","Capital Improvements",0.84,26.66,"None","supervision"
"6463","telemetry equipment                          ","1/1/2013",1668.38,667.35,"200DB",5,"305","Equipment",1,4,"None","None"
"6464","supervision                                  ","12/1/2012",362.55,348.82,"S/L",27.5,"305","Capital Improvements",1.08,26.42,"None","supervision"
"6465","supervision                                  ","11/1/2012",14.28,13.7,"S/L",27.5,"305","Capital Improvements",1.16,26.34,"repair below $200","supervision"
"6466","supervision                                  ","10/1/2012",936.94,895.77,"S/L",27.5,"305","Capital Improvements",1.25,26.25,"None","supervision"
"6467","supervision                                  ","9/1/2012",223.28,212.79,"S/L",27.5,"305","Capital Improvements",1.33,26.17,"None","supervision"
"6468","supervision                                  ","9/1/2012",433.96,413.58,"S/L",27.5,"305","Capital Improvements",1.33,26.17,"None","supervision"
"6469","supervision                                  ","7/1/2012",17.18,16.27,"S/L",27.5,"305","Capital Improvements",1.5,26,"repair below $200","supervision"
"6470","supervision                                  ","5/1/2012",8.45,7.95,"S/L",27.5,"305","Capital Improvements",1.67,25.83,"repair below $200","supervision"
"6471","supervision                                  ","1/1/2012",237.32,220.42,"S/L",27.5,"305","Capital Improvements",2,25.5,"None","supervision"
"6472","amenity replacements                         ","2/1/2012",1167.52,357.41,"200DB",7,"305","Furniture & Fixtures",1.92,5.08,"None","None"
"6473","dishwashers                                  ","11/1/2012",234.9,56.38,"200DB",5,"305","Furniture & Fixtures",1.16,3.84,"None","dishwasher"
"6474","dishwashers                                  ","10/1/2012",469.8,112.75,"200DB",5,"305","Furniture & Fixtures",1.25,3.75,"None","dishwasher"
"6475","dishwashers                                  ","9/1/2012",279.83,67.16,"200DB",5,"305","Furniture & Fixtures",1.33,3.67,"None","dishwasher"
"6476","dishwashers                                  ","7/1/2012",279.83,67.16,"200DB",5,"305","Furniture & Fixtures",1.5,3.5,"None","dishwasher"
"6477","dishwashers                                  ","6/1/2012",559.66,134.32,"200DB",5,"305","Furniture & Fixtures",1.58,3.42,"None","dishwasher"
"6478","dishwashers                                  ","5/1/2012",396.8,95.23,"200DB",5,"305","Furniture & Fixtures",1.67,3.33,"None","dishwasher"
"6479","dishwashers                                  ","4/1/2012",578.99,138.95,"200DB",5,"305","Furniture & Fixtures",1.75,3.25,"None","dishwasher"
"6480","dishwashers                                  ","2/1/2012",502.66,120.64,"200DB",5,"305","Furniture & Fixtures",1.92,3.08,"None","dishwasher"
"6481","range/ventahood                              ","11/1/2012",331.25,79.5,"200DB",5,"305","Furniture & Fixtures",1.16,3.84,"None","range"
"6482","range/ventahood                              ","10/1/2012",361.07,86.65,"200DB",5,"305","Furniture & Fixtures",1.25,3.75,"None","range"
"6483","range/ventahood                              ","9/1/2012",822.18,197.32,"200DB",5,"305","Furniture & Fixtures",1.33,3.67,"None","range"
"6484","range/ventahood                              ","7/1/2012",491.24,117.9,"200DB",5,"305","Furniture & Fixtures",1.5,3.5,"None","range"
"6485","range/ventahood                              ","6/1/2012",450.59,108.14,"200DB",5,"305","Furniture & Fixtures",1.58,3.42,"None","range"
"6486","range/ventahood                              ","5/1/2012",438.5,105.24,"200DB",5,"305","Furniture & Fixtures",1.67,3.33,"None","range"
"6487","range/ventahood                              ","4/1/2012",570.24,136.86,"200DB",5,"305","Furniture & Fixtures",1.75,3.25,"None","range"
"6488","range/ventahood                              ","3/1/2012",890.32,213.68,"200DB",5,"305","Furniture & Fixtures",1.84,3.16,"None","range"
"6489","range/ventahood                              ","2/1/2012",34.58,8.3,"200DB",5,"305","Furniture & Fixtures",1.92,3.08,"repair below $200","range"
"6490","range/ventahood                              ","1/1/2012",33.56,8.05,"200DB",5,"305","Furniture & Fixtures",2,3,"repair below $200","range"
"6491","refrigerator/icemaker                        ","12/1/2012",470.89,113.01,"200DB",5,"305","Furniture & Fixtures",1.08,3.92,"None","refrigerator"
"6492","refrigerator/icemaker                        ","10/1/2012",941.78,226.03,"200DB",5,"305","Furniture & Fixtures",1.25,3.75,"None","refrigerator"
"6493","refrigerator/icemaker                        ","9/1/2012",624.78,149.95,"200DB",5,"305","Furniture & Fixtures",1.33,3.67,"None","refrigerator"
"6494","refrigerator/icemaker                        ","7/1/2012",624.78,149.95,"200DB",5,"305","Furniture & Fixtures",1.5,3.5,"None","refrigerator"
"6495","refrigerator/icemaker                        ","6/1/2012",554.56,133.09,"200DB",5,"305","Furniture & Fixtures",1.58,3.42,"None","refrigerator"
"6496","refrigerator/icemaker                        ","4/1/2012",624.78,149.95,"200DB",5,"305","Furniture & Fixtures",1.75,3.25,"None","refrigerator"
"6497","refrigerator/icemaker                        ","3/1/2012",613.78,147.31,"200DB",5,"305","Furniture & Fixtures",1.84,3.16,"None","refrigerator"
"6498","refrigerator/icemaker                        ","1/1/2012",1080.64,259.36,"200DB",5,"305","Furniture & Fixtures",2,3,"None","refrigerator"
"6499","vinyl replacements-cap                       ","4/1/2012",32.55,7.81,"200DB",5,"305","Furniture & Fixtures",1.75,3.25,"repair below $200","vinyl"
"6500","cleaning & grubbing                          ","12/1/2012",2906.51,1242.53,"150DB",15,"305","Land Improvements",1.08,13.92,"None","cleaning grubbing"
"6501","concrete repair/replacements                 ","6/1/2012",665.74,284.61,"150DB",15,"305","Land Improvements",1.58,13.42,"None","repair"
"6502","landscaping improvements                     ","1/1/2012",618.32,264.33,"150DB",15,"305","Land Improvements",2,13,"None","landscaping"
"6503","landscaping-site                             ","9/1/2012",4770.14,2039.24,"150DB",15,"305","Land Improvements",1.33,13.67,"None","landscaping"
"6504","24 drawers and medicine cabinet              ","6/1/2011",802.99,728.77,"S/L",27.5,"310","Capital Improvements",2.59,24.91,"None","cabinets"
"6505","310_2 condensers                             ","3/25/2011",1231.89,1106.83,"S/L",27.5,"310","Capital Improvements",2.77,24.73,"None","condenser"
"6515","310_mgmt fee                                 ","4/30/2011",1.6,1.44,"S/L",27.5,"310","Capital Improvements",2.67,24.83,"repair below $200","supervision"
"6516","310_mileage wooten                           ","4/20/2011",15.81,14.26,"S/L",27.5,"310","Capital Improvements",2.7,24.8,"repair below $200","supervision"
"6520","310_subfloor repair                          ","1/26/2011",250,223.11,"S/L",27.5,"310","Capital Improvements",2.93,24.57,"None","repair"
"6521","310_subfloor repair                          ","4/19/2011",525,473.3,"S/L",27.5,"310","Capital Improvements",2.7,24.8,"None","repair"
"6523","310_water heater                             ","3/15/2011",255.91,229.92,"S/L",27.5,"310","Capital Improvements",2.8,24.7,"None","water heater"
"6524","air conditioning & heat                      ","6/1/2011",2842.65,2579.92,"S/L",27.5,"310","Capital Improvements",2.59,24.91,"None","HVAC"
"6525","air conditioning & heat                      ","7/1/2011",1662.12,1513.54,"S/L",27.5,"310","Capital Improvements",2.5,25,"None","HVAC"
"6526","air conditioning & heat                      ","8/1/2011",1793.71,1638.79,"S/L",27.5,"310","Capital Improvements",2.42,25.08,"None","HVAC"
"6527","air conditioning & heat                      ","9/1/2011",561.82,515,"S/L",27.5,"310","Capital Improvements",2.33,25.17,"None","HVAC"
